,NAMES,FOLLOWERS,FOLLOWING,POSTS
1,jamieoliver,7300000,2030,7219
2,ladyironchef,607000,56,13200
3,detoxinista,118000,170,1380
4,_semu_,395000,24,279
5,davidrocaberti,161000,477,413
6,__anjalithakur__,385000,54,288
8,crystalsharma12,257000,3,268
10,navya8528,326000,8,9
11,justa_pooja586,271000,225,116
13,semu_dogra,376000,42,418
15,vibhu_shrma,390000,92,323
16,sarcasm_only,13800000,2,11400
18,thefatjewish,10300000,666,4169
20,funnymemes,7200000,14,162
21,ladbible,8100000,13,23500
27,avrilpicsde,24100,47,5919
29,__ghost_for_real__,16700,67,436
30,spronik_,100000,23,446
31,selenagomez,153000000,61,1498
32,leomessi,125000000,228,477
34,kendalljenner,113000000,199,3107
35,dollyandoatmeal,104000,416,1282
36,dad_beets,67800,85,873
37,dennistheprescott,497000,280,2961
38,bucketlistjourney,100000,1397,1558
39,expertvagabond,151000,673,877
40,theblondeabroad,554000,538,2268
41,adventurouskate,97900,450,2522
42,theplanetd,215000,880,1909
43,gypsea_lust,2100000,382,1392
44,alexachung,3300000,689,5643
45,juliahengel,1200000,378,5853
46,chiaraferragni,16900000,976,12800
47,emmahill,523000,367,2926
48,nicolettemason,178000,2997,4908
49,benlowy,229000,1437,2176
50,muradosmann,4100000,737,543
51,casachicks,266000,702,3295
52,cristiano,175000000,437,2590
53,therock,149000000,289,4363
54,kyliejenner,140000000,126,6002
55,shakira,57700000,89,1410
56,taylorswift,119000000,0,328
57,nickiminaj,104000000,1307,5957
58,emmawatson,51300000,28,162
59,the.real.indian_stories,312000,421,7597
60,ktm_duke_love,230000,4,2791
61,natgeotravel,32200000,84,11000
62,sadcasm.co,898000,3,1604
63,bikewithgirl,380000,95,935
64,isro_india,351000,8,372
65,fasbeam,97800,15,1269
66,vikaskhannagroup,523000,200,1174
67,bigboytoyz_india,932000,6,1983
68,deepak_chahar9,405000,1,154
69,natgeoyourshot,2300000,252,4444
70,walkwithindia,410000,983,3337
71,things2doinmumbai,296000,12,2095
72,bullet_lovers_._,162000,810,1164
73,yourfoodlab,546000,1,473
74,thasvy,498000,434,492
75,logicdetector,592000,2,1295
76,rdchahar1,144000,25,149
77,thegoodquote,16900000,34,3472
78,bren_garage,102000,272,582
79,narendramodi,24800000,0,328
80,bmwindia_official,372000,15,2611
81,retrieverpuppies,1100000,28,3745
82,sanjanasanghi96,255000,510,390
83,_nishu.gautam_,255000,62,246
