username,mean_no_of_likes,mean_no_of_comments
__anjalithakur__,7137.75,159.875
__ghost_for_real__,1199.9444444444443,11.333333333333334
_nishu.gautam_,2715.25,103.0
_semu_,4314.2,158.8
adventurouskate,910.013698630137,38.602739726027394
alexachung,37898.666666666664,192.66666666666666
avrilpicsde,797.5463917525773,5.639175257731959
benlowy,847.3389830508474,17.610169491525422
bigboytoyz_india,35988.46428571428,682.9642857142857
bikewithgirl,44377.269662921346,238.73033707865167
bmwindia_official,3888.5106382978724,8.25531914893617
bren_garage,15462.404255319148,124.04255319148936
bucketlistjourney,1695.5576923076924,91.4423076923077
bullet_lovers_._,8873.93525179856,19.20863309352518
casachicks,3162.8571428571427,374.6714285714286
chiaraferragni,376508.625,1569.8125
cristiano,5592920.857142857,42311.28571428572
crystalsharma12,9403.0,295.0
dad_beets,1818.3793103448277,49.172413793103445
davidrocaberti,5610.870588235294,303.90588235294115
deepak_chahar9,38139.40740740741,215.80246913580248
dennistheprescott,14122.813953488372,232.62790697674419
detoxinista,1184.1333333333334,112.26666666666667
dollyandoatmeal,1231.851851851852,35.7037037037037
emmahill,12089.075757575758,246.27272727272728
emmawatson,1948637.923076923,8231.641025641025
expertvagabond,4137.395348837209,85.95348837209302
fasbeam,11750.424242424242,131.87878787878788
funnymemes,11932.0,44.0
gypsea_lust,53035.26666666667,803.4
isro_india,14070.360655737704,98.6311475409836
jamieoliver,33113.2972972973,232.7027027027027
juliahengel,19895.549295774646,156.40845070422534
justa_pooja586,8572.0,388.6666666666667
kendalljenner,2871370.3,23575.7
ktm_duke_love,8301.492647058823,33.51470588235294
kyliejenner,5052432.555555556,74034.33333333333
ladbible,118282.0,9047.0
ladyironchef,1115.5,1.0
leomessi,4132483.4285714286,27125.285714285714
logicdetector,21807.822916666668,571.4895833333334
muradosmann,167480.1724137931,1239.4137931034484
narendramodi,1146559.423076923,8885.615384615385
natgeotravel,142113.79207920792,432.5742574257426
natgeoyourshot,29860.216783216783,158.55244755244755
navya8528,6888.0,174.0
nickiminaj,1236380.8333333333,21022.944444444445
nicolettemason,2408.074074074074,98.25925925925925
ranaut_s,527.0,0.0
rdchahar1,13780.71590909091,70.625
retrieverpuppies,51538.23809523809,371.6666666666667
sadcasm.co,14680.0,82.0
sanjanasanghi96,12723.641509433963,96.37735849056604
sarcasm_only,177892.38709677418,6920.725806451613
selenagomez,5096210.235294118,54708.0
semu_dogra,7381.0,254.25
shakira,443644.5,3271.2
spronik_,3467.3076923076924,12.5
taylorswift,2490087.0,0.0
thasvy,74380.85344827586,897.4137931034483
the.real.indian_stories,23445.714285714286,107.28571428571429
theblondeabroad,14535.140625,281.5625
thefatjewish,416349.25,4493.25
thegoodquote,145558.02222222224,820.1777777777778
theplanetd,4554.302325581395,104.51162790697674
therock,2195490.222222222,10989.388888888889
things2doinmumbai,11049.196078431372,202.4313725490196
vibhu_shrma,7962.9,398.8
vikaskhannagroup,15006.36231884058,84.01449275362319
walkwithindia,7404.4789915966385,48.57983193277311
yourfoodlab,4278.0,8.0
