,shortcode,username,display_url,edge_media_preview_like,comments_disabled,edge_media_to_comment,dimensions_height,dimensions_width,edge_media_to_caption,tags,taken_at_timestamp
0,BvJ_JrFHizF,vibhu_shrma,https://scontent-bom1-2.cdninstagram.com/vp/6a7090452795eb9ff5313f9534da0160/5DA662EF/t51.2885-15/e35/53712771_422584888286397_5444486769377151546_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MjAwMjQwOTI1MTAwNTE0ODM1Nw%3D%3D.2,9021,False,461,936,750,#logon_ke_me_dil❤_me_dhadkna_zruri_nhi_😺😺😺_nzron_me _khtkny_ka_bhi_alg_he_mza_hai😂😁😋😋😋😋😋,['_me_dhadkna_zruri_nhi_'],1552925805
1,BuypqwPH4v-,vibhu_shrma,https://scontent-bom1-2.cdninstagram.com/vp/b9f39ca5d6ca8d34e8385ea395d3b3fa/5DAF3E45/t51.2885-15/e35/53532538_2189617074588857_4341142554830115202_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=8&ig_cache_key=MTk5NTg0MDg0Mjc5Njg2MjQ2Mg%3D%3D.2,6230,False,363,1350,1080,#people_always_has_openion_to_you_but_just_ignore_them_and_live_ur_life_with_ur_rules😋😋,['people_always_has_openion_to_you_but_just_ignore_them_and_live_ur_life_with_ur_rules'],1552142790
2,Bud8tdPnNBL,vibhu_shrma,https://scontent-bom1-2.cdninstagram.com/vp/4626f08f64cdbf1393be162166641afe/5DC1CAB9/t51.2885-15/e35/51755145_154746988869014_8582240157340530567_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MTk5MDAxMzYxNjkzNTE5NDY5OQ%3D%3D.2,6889,False,353,1350,1080,NEUTRAL,,1551448131
3,BuBToLlnMhi,vibhu_shrma,https://scontent-bom1-2.cdninstagram.com/vp/48efadb8f5a7d1170be72878a5ad959a/5DBBFA21/t51.2885-15/e35/52047750_315366606000164_2030358165354180493_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MTk4MTk1MTYzNTEyNDcwMTI4Mg%3D%3D.2,4946,False,154,802,640,B+_not_only_my_blood_group_not_my_grade_but_my_fav_quote______B+😘😘,[],1550487068
4,Bt583pDnex5,vibhu_shrma,https://scontent-bom1-2.cdninstagram.com/vp/14fffa06f6056bd491673957669e3aa7/5DC46642/t51.2885-15/e35/50947280_2070193553095757_3646520258382671458_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MTk3OTg4MTIxNzY1MjAyNjQ4OQ%3D%3D.2,10437,False,618,1350,1080,#old_selfie📷,['old_selfie'],1550240255
5,BsibIfpHCga,vibhu_shrma,https://scontent-bom1-2.cdninstagram.com/vp/0c79dbd58f10ae77add70e288b91ec88/5DAA2EC8/t51.2885-15/e35/47585134_358296374994284_6454786624557635374_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MTk1NTI0NDUxOTIxOTUzNzk0Ng%3D%3D.2,9659,False,601,1350,1080,🌀❤💜🌚,[],1547303331
6,BsVfHi7nSDj,vibhu_shrma,https://scontent-bom1-2.cdninstagram.com/vp/1ead193b4f412e9fc45cb86931a1bda9/5DB77E73/t51.2885-15/e35/47585579_374338720028940_3507997659724651708_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MTk1MTYwMjg3MTUyMDUzNDc1NQ%3D%3D.2,8732,False,642,1350,1080,#selfietime#boringlife,"['boringlife', 'selfietime']",1546869213
7,BsStinOH6Hw,vibhu_shrma,https://scontent-bom1-2.cdninstagram.com/vp/3f70040c17c16eda62139c856c57ef68/5DB5732C/t51.2885-15/e35/47690114_352798505555279_4813554856111909516_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MTk1MDgyMTg3OTI3Mjk0MDAxNg%3D%3D.2,9035,False,640,1350,1080,NEUTRAL,,1546776111
8,BruuEsGnW4i,vibhu_shrma,https://scontent-bom1-2.cdninstagram.com/vp/2e205c0941964f69423898ca9327c9f9/5DBFA1DF/t51.2885-15/e35/46655314_358290601664045_2074833481103344039_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MTk0MDY5MTEyMTgxNjMwMTA5MA%3D%3D.2,7633,False,278,799,640,#in_this_world_no_one_cares_about_soft_heart_❤️,['❤️'],1545568431
9,BrnMlQmn9-k,vibhu_shrma,https://scontent-bom1-2.cdninstagram.com/vp/b53e143d188da9f4e4b23db7a655e543/5DAC83B7/t51.2885-15/e35/46462816_529519194216728_1623101947392279867_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MTkzODU3MzUwMTYxMjk0MTIyMA%3D%3D.2,6271,False,309,728,640,Time when u miss someone 😄,[],1545315991
10,BrXmnXbn5ad,vibhu_shrma,https://scontent-bom1-2.cdninstagram.com/vp/93ab43ac91580a22009ebc6b43433007/5DAD7388/t51.2885-15/e35/46352533_2255673267999048_4464492909827905009_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MTkzNDE4NDM5NTk2NTQzNzU5Nw%3D%3D.2,6165,False,268,937,750,#happy_winter☃🐾,['☃'],1544792769
11,BrSW-Iqns-w,vibhu_shrma,https://scontent-bom1-2.cdninstagram.com/vp/b4182bf0f8e3b93329e63c89b8bf0f00/5DACE377/t51.2885-15/e35/46136507_1184902055010639_3280303880873161715_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MTkzMjcwODIxNzAzMTE1MTUzNg%3D%3D.2,6434,False,271,750,750,NEUTRAL,,1544616795
12,Bqzz4fmnfIY,vibhu_shrma,https://scontent-bom1-2.cdninstagram.com/vp/bcaccb07522b94894b2c6c7c2ea96c74/5DA4C04D/t51.2885-15/e35/45867394_331383760993466_1621695441204526158_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MTkyNDEwOTY0ODQxMzk3OTE2MA%3D%3D.2,8555,False,307,799,640,#friends_are_like_stars_they_come_and_go_but_the_ones_that_stay_are_the_ones_that_glow💖💖,['friends_are_like_stars_they_come_and_go_but_the_ones_that_stay_are_the_ones_that_glow'],1543591765
13,BqM-Yi_HYcA,vibhu_shrma,https://scontent-bom1-2.cdninstagram.com/vp/ffe552437c299eab2ce99a897f0d974d/5DBE45AA/t51.2885-15/e35/43585516_364344311036227_7930878979973746665_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=8&ig_cache_key=MTkxMzE3ODMwNzQ0Mjg3MDAxNg%3D%3D.2,9852,False,330,1183,1080,NEUTRAL,,1542288648
14,BpcC66XHo9w,vibhu_shrma,https://scontent-bom1-2.cdninstagram.com/vp/7791c7406e74f5f74b476f147a78910d/5DB36791/t51.2885-15/e35/44336484_1969734416658552_4656492006064745401_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&ig_cache_key=MTg5OTQwNTk4NzMzMTA4NDE0NA%3D%3D.2,8645,False,325,918,750,#when_u_have_no_work_to_do_then_capture_selfie_indeed_a_great_job📷📷,['when_u_have_no_work_to_do_then_capture_selfie_indeed_a_great_job'],1540646860
15,BpUQoRknA-T,vibhu_shrma,https://scontent-bom1-2.cdninstagram.com/vp/3fe59819699e35f5dc47d1cdab48b8f6/5DB01C8B/t51.2885-15/e35/43694320_247666499433948_3760069770262680766_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MTg5NzIxNDQ3OTQyMDg4NjkzMQ%3D%3D.2,8016,False,476,1350,1080,#no_expectations_no_disappointment ❤❤❤,['no_expectations_no_disappointment'],1540385611
16,Bo8fuhqHm7s,vibhu_shrma,https://scontent-bom1-2.cdninstagram.com/vp/656922069707b963759a034f69686cc5/5DA49EAD/t51.2885-15/e35/43712794_2259317447443241_8713400740748505907_n.jpg?_nc_ht=scontent-bom1-2.cdninstagram.com&se=7&ig_cache_key=MTg5MDUyNTQ4MDI2NjY1NzUxNg%3D%3D.2,6195,False,250,1350,1080,#i_may_not_be_perfect_but_i_am_always_me 💚💜,['i_may_not_be_perfect_but_i_am_always_me'],1539588221
